apple manzana pomme
airport aeropuerto aéroport
animal animal animal
able capaz capable
access acceso accès
accident accidente accident
account cuenta compte
adventure aventura aventure
age edad âge
aim objetivo objectif
hair cabello cheveux/poil
hand mano main
happy feliz heureux/heureuse
hard duro dur/difficile
hate odiar détester
have tener avoir
head cabeza tête
health salud santé
heart corazón coeur
help ayudar aider
hello hola bonjour
idea idea idée
imagine imaginar imaginer
important importante important
improve mejorar améliorer
information información information
inside adentro à-l-intérieur-de
instead en-lugar-de à-la-place-de
interest interés intérêt
interesting interesante intéressant
invite invitar inviter
i yo je
you tú/usted tu/vous
me mí moi
want querer vouloir
coffee café café
machine máquina machine
magic magia magie
mail correo courrier
main principal principal
make hacer faire
man hombre homme
many muchos/muchas beaucoup-de
market mercado marché
marry casarse se-marier
matter importar importer/compter
friend amigo/amiga ami/amie
are ser/estar sont
